Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-09-21,USD,0,100000,5.380,1.5
2026-09-21,USD,100000,1000000,4.880,1
2026-09-21,USD,1000000,50000000,4.630,0.75
2026-09-21,USD,50000000,250000000,4.380,0.5
2026-09-21,USD,250000000,,4.380,0.5
2026-09-21,AED,0,350000,6.156,2.5
2026-09-21,AED,350000,3500000,5.656,2
2026-09-21,AED,3500000,350000000,5.156,1.5
2026-09-21,AED,350000000,,5.156,1.5
2026-09-21,AUD,0,150000,5.650,1.5
2026-09-21,AUD,150000,1500000,5.150,1
2026-09-21,AUD,1500000,75000000,4.900,0.75
2026-09-21,AUD,75000000,300000000,4.650,0.5
2026-09-21,AUD,300000000,,4.650,0.5
2026-09-21,CAD,0,130000,3.448,1.5
2026-09-21,CAD,130000,1300000,2.948,1
2026-09-21,CAD,1300000,64000000,2.698,0.75
2026-09-21,CAD,64000000,260000000,2.448,0.5
2026-09-21,CAD,260000000,,2.448,0.5
2026-09-21,CHF,0,90000,1.500,1.5
2026-09-21,CHF,90000,900000,1.000,1
2026-09-21,CHF,900000,46000000,0.750,0.75
2026-09-21,CHF,46000000,180000000,0.75,0.5
2026-09-21,CHF,180000000,,0.75,0.5
2026-09-21,CNH,0,700000,5.001,4
2026-09-21,CNH,700000,7000000,4.001,3
2026-09-21,CNH,7000000,350000000,3.501,2.5
2026-09-21,CNH,350000000,,3.001,2
2026-09-21,CZK,0,400000000,6.131,3
2026-09-21,CZK,400000000,,6.131,3
2026-09-21,DKK,0,120000000,4.769,3
2026-09-21,DKK,120000000,,4.769,3
2026-09-21,EUR,0,90000,3.688,1.5
2026-09-21,EUR,90000,900000,3.188,1
2026-09-21,EUR,900000,44000000,2.938,0.75
2026-09-21,EUR,44000000,180000000,2.688,0.5
2026-09-21,EUR,180000000,,2.688,0.5
2026-09-21,GBP,0,80000,4.989,1.5
2026-09-21,GBP,80000,800000,4.489,1
2026-09-21,GBP,800000,38000000,4.239,0.75
2026-09-21,GBP,38000000,150000000,3.989,0.5
2026-09-21,GBP,150000000,,3.989,0.5
2026-09-21,HKD,0,780000,4.306,2.5
2026-09-21,HKD,780000,7800000,3.806,2
2026-09-21,HKD,7800000,780000000,3.306,1.5
2026-09-21,HKD,780000000,,3.306,1.5
2026-09-21,HUF,0,4500000000,10.007,5
2026-09-21,HUF,4500000000,,10.007,5
2026-09-21,ILS,0,80000000,7.250,5
2026-09-21,ILS,80000000,,7.250,5
2026-09-21,INR,,,8.100,3
2026-09-21,JPY,0,11000000,2.104,1.5
2026-09-21,JPY,11000000,114000000,1.604,1
2026-09-21,JPY,114000000,5700000000,1.354,0.75
2026-09-21,JPY,5700000000,23000000000,1.104,0.5
2026-09-21,JPY,23000000000,,1.104,0.5
2026-09-21,KRW,,,7.792,3.5
2026-09-21,MXN,0,2000000,9.488,3
2026-09-21,MXN,2000000,20000000,8.488,2
2026-09-21,MXN,20000000,2000000000,7.988,1.5
2026-09-21,MXN,2000000000,,7.988,1.5
2026-09-21,NOK,0,900000,5.415,1.5
2026-09-21,NOK,900000,9000000,4.915,1
2026-09-21,NOK,9000000,450000000,4.665,0.75
2026-09-21,NOK,450000000,1800000000,4.415,0.5
2026-09-21,NOK,1800000000,,4.415,0.5
2026-09-21,NZD,0,150000,3.941,1.5
2026-09-21,NZD,150000,1500000,3.441,1
2026-09-21,NZD,1500000,150000000,3.191,0.75
2026-09-21,NZD,150000000,,3.191,0.75
2026-09-21,PLN,0,70000000,6.429,3
2026-09-21,PLN,70000000,,6.429,3
2026-09-21,RON,,,8.101,3
2026-09-21,RUB*,0,660000000,19.100,5
2026-09-21,RUB*,660000000,,19.100,5
2026-09-21,SAR,0,350000,6.216,2.5
2026-09-21,SAR,350000,3500000,5.716,2
2026-09-21,SAR,3500000,350000000,5.216,1.5
2026-09-21,SAR,350000000,,5.216,1.5
2026-09-21,SEK,0,900000,2.886,1.5
2026-09-21,SEK,900000,9100000,2.386,1
2026-09-21,SEK,9100000,454000000,2.136,0.75
2026-09-21,SEK,454000000,1820000000,1.886,0.5
2026-09-21,SEK,1820000000,,1.886,0.5
2026-09-21,SGD,0,140000,2.748,1.5
2026-09-21,SGD,140000,1400000,2.248,1
2026-09-21,SGD,1400000,68000000,1.998,0.75
2026-09-21,SGD,68000000,270000000,1.748,0.5
2026-09-21,SGD,270000000,,1.748,0.5
2026-09-21,TRY,0,250000000,37.197,5
2026-09-21,TRY,250000000,,37.197,5
2026-09-21,ZAR,0,1500000,7.130,1.5
2026-09-21,ZAR,1500000,15000000,6.630,1
2026-09-21,ZAR,15000000,1500000000,6.380,0.75
2026-09-21,ZAR,1500000000,,6.380,0.75
